epoch,experiment_id,method,seed,test_acc,test_loss
2,E7,ssf_all,2027,0.234,2.0868365783691405
3,E7,ssf_all,2027,0.342,1.8319363098144532
4,E7,ssf_all,2027,0.436,1.6544442901611327
5,E7,ssf_all,2027,0.489,1.5427948150634765
6,E7,ssf_all,2027,0.522,1.4476004028320313
7,E7,ssf_all,2027,0.549,1.3559663848876953
8,E7,ssf_all,2027,0.569,1.2787362594604492
9,E7,ssf_all,2027,0.594,1.21830419921875
10,E7,ssf_all,2027,0.615,1.1753579177856446
11,E7,ssf_all,2027,0.628,1.1387311172485353
12,E7,ssf_all,2027,0.645,1.1038417129516602
13,E7,ssf_all,2027,0.653,1.0759594879150391
14,E7,ssf_all,2027,0.649,1.0548822631835937
15,E7,ssf_all,2027,0.659,1.0325508880615235
1,E8,linear_probe,2026,0.33,1.8233597717285157
2,E8,linear_probe,2026,0.537,1.4271385040283202
3,E8,linear_probe,2026,0.621,1.2467130737304688
4,E8,linear_probe,2026,0.666,1.1224085159301758
5,E8,linear_probe,2026,0.693,1.0301456756591796
6,E8,linear_probe,2026,0.696,0.9760890426635742
7,E8,linear_probe,2026,0.708,0.9340404586791993
8,E8,linear_probe,2026,0.722,0.9212729110717773
9,E8,linear_probe,2026,0.735,0.8911022186279297
10,E8,linear_probe,2026,0.716,0.8761742477416992
11,E8,linear_probe,2026,0.726,0.8665866012573242
12,E8,linear_probe,2026,0.721,0.8651569137573242
13,E8,linear_probe,2026,0.724,0.8610986328125
14,E8,linear_probe,2026,0.721,0.8548568878173828
15,E8,linear_probe,2026,0.725,0.8465226364135742
1,E8,linear_probe,2027,0.245,2.107733688354492
2,E8,linear_probe,2027,0.442,1.6657123870849608
3,E8,linear_probe,2027,0.545,1.4425665893554687
4,E8,linear_probe,2027,0.596,1.299056640625
5,E8,linear_probe,2027,0.654,1.1677981872558594
6,E8,linear_probe,2027,0.677,1.0814912643432617
7,E8,linear_probe,2027,0.688,1.0291234893798828
8,E8,linear_probe,2027,0.699,0.9822955627441406
9,E8,linear_probe,2027,0.703,0.9408368072509765
10,E8,linear_probe,2027,0.714,0.9200115432739258
11,E8,linear_probe,2027,0.727,0.8984698638916016
12,E8,linear_probe,2027,0.719,0.8869691925048828
13,E8,linear_probe,2027,0.721,0.8781909408569336
14,E8,linear_probe,2027,0.728,0.8648010406494141
15,E8,linear_probe,2027,0.728,0.8594158248901367
1,E8,partial_ft,2026,0.58,4.653365234375
2,E8,partial_ft,2026,0.618,3.183192230224609
3,E8,partial_ft,2026,0.7,2.379228469848633
4,E8,partial_ft,2026,0.679,2.220146514892578
5,E8,partial_ft,2026,0.67,2.133965179443359
6,E8,partial_ft,2026,0.707,1.5376099243164063
7,E8,partial_ft,2026,0.745,1.2511261901855468
8,E8,partial_ft,2026,0.756,1.10912264251709
9,E8,partial_ft,2026,0.745,1.1073343505859374
10,E8,partial_ft,2026,0.749,1.1323469619750977
11,E8,partial_ft,2026,0.747,1.1230781631469726
12,E8,partial_ft,2026,0.745,1.0672373352050781
13,E8,partial_ft,2026,0.743,1.0204457473754882
14,E8,partial_ft,2026,0.748,0.9946243362426758
15,E8,partial_ft,2026,0.747,0.9773205413818359
1,E8,partial_ft,2027,0.529,3.6052938537597656
2,E8,partial_ft,2027,0.652,2.5221256713867186
3,E8,partial_ft,2027,0.694,1.9300925903320312
4,E8,partial_ft,2027,0.701,1.7855982666015624
5,E8,partial_ft,2027,0.709,1.5059723358154298
6,E8,partial_ft,2027,0.728,1.2975733795166016
7,E8,partial_ft,2027,0.741,1.0986529998779297
8,E8,partial_ft,2027,0.741,1.087574333190918
9,E8,partial_ft,2027,0.739,1.0887983703613282
10,E8,partial_ft,2027,0.734,1.0736471405029298
11,E8,partial_ft,2027,0.74,1.0474589767456055
12,E8,partial_ft,2027,0.748,0.9956290588378907
13,E8,partial_ft,2027,0.746,0.9672727890014648
14,E8,partial_ft,2027,0.756,0.9464409408569336
15,E8,partial_ft,2027,0.759,0.9345541534423828
1,E8,full_ft,2026,0.294,2.017346664428711
2,E8,full_ft,2026,0.419,1.714045654296875
3,E8,full_ft,2026,0.522,1.483011703491211
4,E8,full_ft,2026,0.604,1.2952660675048828
5,E8,full_ft,2026,0.674,1.145637351989746
6,E8,full_ft,2026,0.699,1.0343567886352538
7,E8,full_ft,2026,0.728,0.9503051452636718
8,E8,full_ft,2026,0.751,0.8943915481567383
9,E8,full_ft,2026,0.758,0.85169384765625
10,E8,full_ft,2026,0.769,0.8190622329711914
11,E8,full_ft,2026,0.774,0.792956527709961
12,E8,full_ft,2026,0.781,0.7739348297119141
13,E8,full_ft,2026,0.779,0.7595293579101563
14,E8,full_ft,2026,0.778,0.7465840682983399
15,E8,full_ft,2026,0.779,0.7342031555175781
1,E8,full_ft,2027,0.247,2.125809280395508
2,E8,full_ft,2027,0.398,1.774546646118164
3,E8,full_ft,2027,0.499,1.5315016632080078
4,E8,full_ft,2027,0.565,1.3545906524658202
5,E8,full_ft,2027,0.613,1.2264620971679687
6,E8,full_ft,2027,0.658,1.130650016784668
7,E8,full_ft,2027,0.688,1.0564273834228515
8,E8,full_ft,2027,0.703,0.9988838882446289
9,E8,full_ft,2027,0.715,0.9553026962280273
10,E8,full_ft,2027,0.726,0.9173078460693359
11,E8,full_ft,2027,0.73,0.8855739135742188
12,E8,full_ft,2027,0.733,0.8598290557861328
13,E8,full_ft,2027,0.73,0.8402086944580078
14,E8,full_ft,2027,0.731,0.8248491287231445
15,E8,full_ft,2027,0.735,0.8131906127929688
1,E8,ssf_all,2026,0.333,1.8153152465820312
2,E8,ssf_all,2026,0.544,1.3949507598876953
3,E8,ssf_all,2026,0.638,1.1914275207519531
4,E8,ssf_all,2026,0.67,1.0446930236816405
5,E8,ssf_all,2026,0.723,0.9270200271606446
6,E8,ssf_all,2026,0.734,0.8727538070678711
7,E8,ssf_all,2026,0.746,0.8210167922973632
8,E8,ssf_all,2026,0.74,0.8025245895385742
9,E8,ssf_all,2026,0.756,0.780183479309082
10,E8,ssf_all,2026,0.752,0.7617467575073242
11,E8,ssf_all,2026,0.755,0.7528434677124023
12,E8,ssf_all,2026,0.756,0.7542122268676758
13,E8,ssf_all,2026,0.747,0.7542904891967773
14,E8,ssf_all,2026,0.751,0.7489620056152344
15,E8,ssf_all,2026,0.755,0.7359020614624023
1,E8,ssf_all,2027,0.259,2.083962203979492
2,E8,ssf_all,2027,0.453,1.6191150970458985
3,E8,ssf_all,2027,0.564,1.3697006225585937
4,E8,ssf_all,2027,0.61,1.2161924743652344
5,E8,ssf_all,2027,0.668,1.0686577377319335
6,E8,ssf_all,2027,0.694,0.9770458908081054
7,E8,ssf_all,2027,0.713,0.9188805313110352
8,E8,ssf_all,2027,0.725,0.8700302734375
9,E8,ssf_all,2027,0.726,0.823192642211914
10,E8,ssf_all,2027,0.727,0.8045767135620118
11,E8,ssf_all,2027,0.74,0.7801703643798829
12,E8,ssf_all,2027,0.751,0.767923843383789
13,E8,ssf_all,2027,0.75,0.7568875350952149
14,E8,ssf_all,2027,0.744,0.7446220550537109
15,E8,ssf_all,2027,0.75,0.7385391616821289
1,X1,lora,2026,0.144,2.3591896209716796
2,X1,lora,2026,0.138,2.3200474700927733
3,X1,lora,2026,0.156,2.2833643493652342
4,X1,lora,2026,0.183,2.2410882873535156
5,X1,lora,2026,0.208,2.1735025024414063
6,X1,lora,2026,0.237,2.086016067504883
7,X1,lora,2026,0.277,1.9842517852783204
8,X1,lora,2026,0.309,1.8801272888183593
9,X1,lora,2026,0.347,1.7788334045410157
10,X1,lora,2026,0.375,1.6830560455322265
11,X1,lora,2026,0.416,1.5975220031738282
12,X1,lora,2026,0.438,1.5181277465820313
13,X1,lora,2026,0.455,1.4511389923095703
14,X1,lora,2026,0.466,1.3936920623779296
15,X1,lora,2026,0.477,1.3417269287109375
1,X1,lora,2027,0.101,2.58059619140625
2,X1,lora,2027,0.096,2.4893252563476564
3,X1,lora,2027,0.121,2.4286006774902344
4,X1,lora,2027,0.115,2.4230762786865236
5,X1,lora,2027,0.112,2.4046813049316405
6,X1,lora,2027,0.11,2.3883463439941406
7,X1,lora,2027,0.119,2.3656308288574217
8,X1,lora,2027,0.132,2.3367877197265625
9,X1,lora,2027,0.141,2.3020758209228513
10,X1,lora,2027,0.154,2.2632322692871094
11,X1,lora,2027,0.18,2.2174124603271483
12,X1,lora,2027,0.193,2.163005065917969
13,X1,lora,2027,0.198,2.105562454223633
14,X1,lora,2027,0.212,2.041329391479492
15,X1,lora,2027,0.235,1.9781406707763671
1,X2,adapter,2026,0.496,1.5237150115966798
2,X2,adapter,2026,0.672,1.0284522094726563
3,X2,adapter,2026,0.701,0.8677314758300781
4,X2,adapter,2026,0.707,0.8516033477783204
5,X2,adapter,2026,0.716,0.7972851791381836
6,X2,adapter,2026,0.71,0.8734137802124023
7,X2,adapter,2026,0.73,0.8203517150878906
8,X2,adapter,2026,0.73,0.7817668914794922
9,X2,adapter,2026,0.729,0.8131583480834961
10,X2,adapter,2026,0.734,0.8202590103149414
11,X2,adapter,2026,0.737,0.8530313873291016
12,X2,adapter,2026,0.711,0.9017818298339844
13,X2,adapter,2026,0.707,0.9201844482421875
14,X2,adapter,2026,0.717,0.9230286407470704
15,X2,adapter,2026,0.71,0.966314437866211
1,X2,adapter,2027,0.569,1.3371686553955078
2,X2,adapter,2027,0.678,0.9844325637817383
3,X2,adapter,2027,0.698,0.9251419219970703
4,X2,adapter,2027,0.723,0.8582101058959961
5,X2,adapter,2027,0.73,0.8471272735595703
6,X2,adapter,2027,0.724,0.8998550033569336
7,X2,adapter,2027,0.705,0.9824467926025391
8,X2,adapter,2027,0.723,0.9108122863769531
9,X2,adapter,2027,0.733,0.901992935180664
10,X2,adapter,2027,0.705,1.026076644897461
11,X2,adapter,2027,0.716,0.9942446746826172
12,X2,adapter,2027,0.732,1.0027032623291015
13,X2,adapter,2027,0.719,1.046200424194336
14,X2,adapter,2027,0.727,1.04785001373291
15,X2,adapter,2027,0.717,1.1044003143310548
