method,test_acc_mean,test_acc_std,test_loss_mean,time_sec_mean,total_params,trainable_params,trainable_percent
LINEAR,0.7125,0.0177,0.9394,14.15,11181642,5130,0.0459
BITFIT,0.7725,0.0219,0.6831,14.22,11181642,9930,0.0888
SSF,0.712,0.017,0.9333,11.58,11182666,6154,0.055
LORA,0.1425,0.046,2.3354,12.42,11185818,4186,0.0374
ADAPTER,0.713,0.0057,0.8497,12.92,11247754,71242,0.6334
FULL,0.728,0.0212,0.8953,14.28,11181642,11181642,100.0
